Test PR-AUC: 0.998801
Test ROC-AUC: 0.999524

Rank  Feature                                              Gain       Cover
---------------------------------------------------------------------------
1     L1TkMu_nStubs                                     2062.28      3887.8
2     L1TkMu_nStubs_Endcap                               857.69      4835.8
3     is_low_pt                                          187.06      1521.9
4     muon_general_tracks_pt                             152.32      1354.1
5     L1TkMu_nCompatible                                 122.51      4289.9
6     L1TkMu_stubQual_max                                122.23      2551.3
7     L1TkMu_secondBest_dR2                               54.68      3011.9
8     L1TkMu_nStubs_Barrel                                42.56      3574.7
9     L1TkMu_stubMax_depthRegion                          31.27      1269.9
10    L1TkMu_matchingScore                                28.71       722.5
11    muon_general_tracks_qoverpErr                       23.68       765.2
12    muon_general_tracks_absEta                          19.03       973.5
13    muon_general_tracks_nPixelHits                      16.56       500.8
14    muon_general_tracks_p                               16.32       777.7
15    L1TkMu_dR2min                                       16.17       538.6
16    muon_general_tracks_ptErrOverP                      14.13       588.1
17    muon_general_tracks_etaErr                          13.73       648.8
18    muon_general_tracks_nTrkLays                        13.52       664.4
19    muon_general_tracks_lambdaErr                       12.61       740.2
20    muon_general_tracks_sip2D                           12.57       563.6
21    muon_general_tracks_impact3D                        12.56      1760.8
22    L1TkMu_stubMax_phiRegion                            12.23       470.2
23    muon_general_tracks_sigmaPtOverPt                   12.04       572.3
24    muon_general_tracks_nFoundHits                      11.84       600.2
25    L1TkMu_stubMax_etaRegion                            11.62       677.6
26    muon_general_tracks_dxyOverPt                       10.65       644.7
27    muon_general_tracks_dzErr                           10.53       603.0
28    muon_general_tracks_phiErr                          10.46       696.5
29    muon_general_tracks_dzOverDxy                        9.40       369.9
30    muon_general_tracks_sipZ                             9.33       589.3
31    L1TkMu_dPtNorm                                       9.17       298.5
32    L1TkMu_chi2Pt                                        6.52       312.1
33    L1TkMu_hasMatch                                      0.18         3.0

Permutation importance (PR-AUC drop, pT < 5 GeV test subset, 5 repeats):
  muon_general_tracks_absEta                   +0.05258 +/- 0.00022
  muon_general_tracks_impact3D                 +0.02215 +/- 0.00013
  is_low_pt                                    +0.01306 +/- 0.00006
  muon_general_tracks_pt                       +0.01162 +/- 0.00005
  muon_general_tracks_p                        +0.01078 +/- 0.00009
  L1TkMu_dR2min                                +0.00911 +/- 0.00007
  L1TkMu_nCompatible                           +0.00780 +/- 0.00006
  muon_general_tracks_dzErr                    +0.00583 +/- 0.00001
  muon_general_tracks_sipZ                     +0.00471 +/- 0.00001
  muon_general_tracks_sigmaPtOverPt            +0.00445 +/- 0.00003
  muon_general_tracks_lambdaErr                +0.00437 +/- 0.00003
  muon_general_tracks_qoverpErr                +0.00413 +/- 0.00005
  muon_general_tracks_phiErr                   +0.00400 +/- 0.00002
  muon_general_tracks_ptErrOverP               +0.00390 +/- 0.00004
  muon_general_tracks_sip2D                    +0.00385 +/- 0.00002
  muon_general_tracks_etaErr                   +0.00379 +/- 0.00002
  L1TkMu_secondBest_dR2                        +0.00356 +/- 0.00002
  muon_general_tracks_dxyOverPt                +0.00350 +/- 0.00002
  L1TkMu_nStubs_Endcap                         +0.00296 +/- 0.00002
  muon_general_tracks_dzOverDxy                +0.00277 +/- 0.00003
  L1TkMu_nStubs                                +0.00244 +/- 0.00002
  muon_general_tracks_nFoundHits               +0.00242 +/- 0.00002
  L1TkMu_stubMax_depthRegion                   +0.00238 +/- 0.00003
  L1TkMu_stubMax_etaRegion                     +0.00183 +/- 0.00003
  muon_general_tracks_nPixelHits               +0.00167 +/- 0.00002
  L1TkMu_stubQual_max                          +0.00163 +/- 0.00002
  muon_general_tracks_nTrkLays                 +0.00138 +/- 0.00001
  L1TkMu_stubMax_phiRegion                     +0.00108 +/- 0.00002
  L1TkMu_nStubs_Barrel                         +0.00083 +/- 0.00002
  L1TkMu_chi2Pt                                +0.00078 +/- 0.00001
  L1TkMu_matchingScore                         +0.00047 +/- 0.00002
  L1TkMu_dPtNorm                               +0.00033 +/- 0.00001
  L1TkMu_hasMatch                              -0.00000 +/- 0.00000
