Test PR-AUC: 0.998883
Test ROC-AUC: 0.999827

Rank  Feature                                              Gain       Cover
---------------------------------------------------------------------------
1     l3_tk_OI_nPixelHits                               8980.14      8733.1
2     l3_tk_OI_nTrkLays                                 1089.97      3468.4
3     l3_tk_OI_impact3D                                  425.33      4807.2
4     l3_tk_OI_hitEfficiency                             331.35      3451.8
5     is_low_pt                                          270.55      2791.9
6     l3_tk_OI_pt                                        231.73      2002.3
7     l3_tk_OI_normalizedChi2                            208.71      1650.7
8     l3_tk_OI_nFoundHits                                203.10      2338.3
9     l3_tk_OI_nLostHits                                 155.41      1332.4
10    l2_mu_vtx_matchingScore                            108.33      1801.7
11    l3_tk_OI_etaErr                                     87.96      1353.2
12    l3_tk_OI_chi2PerHit                                 86.58       896.8
13    l3_tk_OI_qoverpErr                                  81.55      1438.8
14    l3_tk_OI_impactSignificance                         73.15      2404.0
15    l3_tk_OI_dzErr                                      60.08      1376.0
16    l3_tk_OI_eta                                        55.73      1393.9
17    l3_tk_OI_dszErr                                     53.74       798.1
18    l3_tk_OI_p                                          52.45      1017.3
19    l3_tk_OI_phiErr                                     49.62      1478.7
20    l3_tk_OI_dxyErr                                     47.05       828.1
21    l3_tk_OI_lambdaErr                                  33.88       519.9
22    l2_mu_vtx_hasMatch                                   4.81      1236.0

Permutation importance (PR-AUC drop, pT < 5 GeV test subset, 5 repeats):
  l3_tk_OI_impact3D                            +0.18771 +/- 0.00072
  l2_mu_vtx_matchingScore                      +0.04128 +/- 0.00020
  l3_tk_OI_impactSignificance                  +0.03738 +/- 0.00043
  l3_tk_OI_nPixelHits                          +0.01644 +/- 0.00022
  l3_tk_OI_normalizedChi2                      +0.01216 +/- 0.00007
  l3_tk_OI_nTrkLays                            +0.00605 +/- 0.00017
  l3_tk_OI_eta                                 +0.00587 +/- 0.00009
  l3_tk_OI_dzErr                               +0.00431 +/- 0.00020
  is_low_pt                                    +0.00336 +/- 0.00009
  l3_tk_OI_etaErr                              +0.00315 +/- 0.00013
  l3_tk_OI_p                                   +0.00269 +/- 0.00006
  l3_tk_OI_pt                                  +0.00262 +/- 0.00005
  l3_tk_OI_hitEfficiency                       +0.00246 +/- 0.00005
  l3_tk_OI_qoverpErr                           +0.00192 +/- 0.00003
  l3_tk_OI_phiErr                              +0.00127 +/- 0.00004
  l3_tk_OI_dszErr                              +0.00121 +/- 0.00001
  l3_tk_OI_lambdaErr                           +0.00117 +/- 0.00003
  l3_tk_OI_dxyErr                              +0.00092 +/- 0.00002
  l3_tk_OI_chi2PerHit                          +0.00084 +/- 0.00004
  l3_tk_OI_nLostHits                           +0.00047 +/- 0.00001
  l3_tk_OI_nFoundHits                          +0.00037 +/- 0.00002
  l2_mu_vtx_hasMatch                           +0.00000 +/- 0.00000
